name,quantity,price,category,tags
Hammer,50,9.99,Tools,heavy;metal;manual
Notebook,100,2.49,Stationery,school;paper
Wireless Mouse,30,25.99,Electronics,usb;wireless;input
USB Cable,75,4.99,Electronics,charging;accessory
Paint Brush,40,6.79,Art,supplies;paint;brush
Stapler,60,7.99,Office,equipment;paperwork
Headphones,25,49.99,Electronics,audio;music;wired
Screwdriver,80,5.50,Tools,manual;hardware
Pen,200,0.99,Stationery,writing;school;ink
Laptop Stand,15,29.99,Accessories,ergonomic;metal;portable
